
ward2002  TotPop_1980  TotPop_1990  TotPop_2000  TotPop_2010
--------  -----------  -----------  -----------  -----------
       1        79000        78000        72000        75000
       2        72000        71000        70000        78000
       3        78000        79000        78000        80000
       4        82000        84000        76000        78000
       5        79000        78000        71000        74000
       6        78000        76000        72000        76000
       7        72000        71000        70000        72000
       8        74000        72000        70000        74000

ward2002  ChgTotPop_1980_1990  ChgTotPop_1990_2000  ChgTotPop_2000_2010
--------  -------------------  -------------------  -------------------
       1                -1000                -6000                 3000
       2                -1000                -1000                 8000
       3                 1000                -1000                 2000
       4                 2000                -8000                 2000
       5                -1000                -7000                 3000
       6                -2000                -4000                 4000
       7                -1000                -1000                 2000
       8                -2000                -2000                 4000

ward2002  ChgPopBlackNonHispBr_1980_1990  ChgPopBlackNonHispBr_1990_2000  ChgPopBlackNonHispBr_2000_2010
--------  ------------------------------  ------------------------------  ------------------------------
       1                           -2000                           -3000                           -2000
       2                           -5000                           -5000                           -4000
       3                            -500                            -300                            -200
       4                           -3000                           -7000                           -5000
       5                           -2000                           -8000                           -6000
       6                           -4000                           -6000                           -6000
       7                           -2000                           -3000                           -5000
       8                           -3000                           -3000                           -5000

ward2002  ChgPopWhiteNonHispBr_1980_1990  ChgPopWhiteNonHispBr_1990_2000  ChgPopWhiteNonHispBr_2000_2010
--------  ------------------------------  ------------------------------  ------------------------------
       1                            2000                           -2000                            5000
       2                            3000                            4000                           10000
       3                            1000                           -2000                            1000
       4                            2000                           -2000                            2000
       5                             500                             500                            5000
       6                            2000                            1000                            9000
       7                             200                             300                            2500
       8                             200                             300                            2000

ward2002  ChgPopHisp_1980_1990  ChgPopHisp_1990_2000  ChgPopHisp_2000_2010
--------  --------------------  --------------------  --------------------
       1                  -500                  -500                  -500
       2                   200                   100                   300
       3                   500                   500                  1000
       4                  2000                  1000                  3000
       5                  1000                     0                  1500
       6                   500                   500                  1000
       7                   200                   300                  1500
       8                   300                   400                  1300

ward2002  ChgPopAsianPINonHispBr_1980_1990  ChgPopAsianPINonHispBr_1990_2000  ChgPopAsianPINonHispBr_2000_2010
--------  --------------------------------  --------------------------------  --------------------------------
       1                               200                              -200                               100
       2                               500                               200                               800
       3                               500                               300                               700
       4                               500                               500                               500
       5                               200                               300                               500
       6                               500                               300                               400
       7                               200                               200                               300
       8                               100                               200                               300

